timestamp,key,action
2026-01-11 22:54:41.058267,4533754430355704141,1
2026-01-11 22:54:41.229531,72,1
2026-01-11 22:54:41.277800,4533754430355704141,0
2026-01-11 22:54:41.404345,104,0
2026-01-11 22:54:42.722695,-7218085767767622603,1
2026-01-11 22:54:42.851041,-7218085767767622603,0
2026-01-11 22:54:43.152203,4533754430355704141,1
2026-01-11 22:54:43.294926,73,1
2026-01-11 22:54:43.422011,4533754430355704141,0
2026-01-11 22:54:43.439776,1333867602347754102,1
2026-01-11 22:54:43.446479,105,0
2026-01-11 22:54:43.611984,108,1
2026-01-11 22:54:43.660859,1333867602347754102,0
2026-01-11 22:54:43.788889,105,1
2026-01-11 22:54:43.836270,108,0
2026-01-11 22:54:43.918255,105,0
2026-01-11 22:54:44.025612,107,1
2026-01-11 22:54:44.089826,101,1
2026-01-11 22:54:44.125773,107,0
2026-01-11 22:54:44.249008,1333867602347754102,1
2026-01-11 22:54:44.249008,101,0
2026-01-11 22:54:44.360570,1333867602347754102,0
2026-01-11 22:54:44.409783,107,1
2026-01-11 22:54:44.505006,107,0
2026-01-11 22:54:44.615428,105,1
2026-01-11 22:54:44.715912,105,0
2026-01-11 22:54:44.762757,116,1
2026-01-11 22:54:44.821340,116,0
2026-01-11 22:54:44.897760,116,1
2026-01-11 22:54:44.980268,116,0
2026-01-11 22:54:45.506722,105,1
2026-01-11 22:54:45.715080,105,0
2026-01-11 22:54:45.928850,101,1
2026-01-11 22:54:46.029019,101,0
2026-01-11 22:54:46.108233,115,1
2026-01-11 22:54:46.255224,115,0
2026-01-11 22:54:46.285921,1333867602347754102,1
2026-01-11 22:54:46.445924,1333867602347754102,0
2026-01-11 22:54:46.521453,116,1
2026-01-11 22:54:46.640181,104,1
2026-01-11 22:54:46.654318,116,0
2026-01-11 22:54:46.765398,104,0
2026-01-11 22:54:46.901549,101,1
2026-01-11 22:54:47.030176,101,0
2026-01-11 22:54:47.407211,121,1
2026-01-11 22:54:47.537193,121,0
2026-01-11 22:54:47.584498,1333867602347754102,1
2026-01-11 22:54:47.679092,97,1
2026-01-11 22:54:47.731805,1333867602347754102,0
2026-01-11 22:54:47.854879,114,1
2026-01-11 22:54:47.869835,97,0
2026-01-11 22:54:47.949084,101,1
2026-01-11 22:54:48.029930,114,0
2026-01-11 22:54:48.060907,1333867602347754102,1
2026-01-11 22:54:48.110354,101,0
2026-01-11 22:54:48.234652,1333867602347754102,0
2026-01-11 22:54:48.302327,118,1
2026-01-11 22:54:48.426071,101,1
2026-01-11 22:54:48.442780,118,0
2026-01-11 22:54:48.539634,114,1
2026-01-11 22:54:48.602518,101,0
2026-01-11 22:54:48.680129,114,0
2026-01-11 22:54:48.808052,121,1
2026-01-11 22:54:48.921589,121,0
2026-01-11 22:54:48.921589,1333867602347754102,1
2026-01-11 22:54:49.066305,112,1
2026-01-11 22:54:49.134098,1333867602347754102,0
2026-01-11 22:54:49.203074,114,1
2026-01-11 22:54:49.251907,112,0
2026-01-11 22:54:49.282404,101,1
2026-01-11 22:54:49.360494,114,0
2026-01-11 22:54:49.443178,101,0
2026-01-11 22:54:49.694173,116,1
2026-01-11 22:54:49.853165,116,0
2026-01-11 22:54:49.869328,116,1
2026-01-11 22:54:50.010936,116,0
2026-01-11 22:54:50.169625,121,1
2026-01-11 22:54:50.312644,121,0
2026-01-11 22:54:50.471286,1333867602347754102,1
2026-01-11 22:54:50.617910,1333867602347754102,0
2026-01-11 22:54:50.647147,4533754430355704141,1
2026-01-11 22:54:50.789087,73,1
2026-01-11 22:54:50.884916,4533754430355704141,0
2026-01-11 22:54:50.947952,105,0
2026-01-11 22:54:50.949020,1333867602347754102,1
2026-01-11 22:54:51.098228,1333867602347754102,0
2026-01-11 22:54:51.186570,104,1
